data_name,removed_label_sampled,mars_time,srnc_time,rejection_time,timestamp
pollen,2.0,3.0623791217803955,4.846137046813965,0.719836950302124,2025-11-09 19:20:54
pollen,4.0,2.3195877075195312,4.56266713142395,0.7033567428588867,2025-11-09 19:21:02
pollen,6.0,2.4682319164276123,11.799247026443481,0.7335109710693359,2025-11-09 19:21:17
pollen,8.0,2.401416301727295,4.829025030136108,0.6603598594665527,2025-11-09 19:21:25
pollen,2.0,2.125272750854492,4.244272947311401,0.7732820510864258,2025-11-09 19:21:32
patel,1.0,1.371885061264038,0.25234293937683105,0.5078909397125244,2025-11-09 19:21:34
patel,1.0,1.551184892654419,0.21456599235534668,0.5264811515808105,2025-11-09 19:21:37
patel,4.0,1.7208330631256104,0.16078400611877441,0.653256893157959,2025-11-09 19:21:39
patel,5.0,1.616448163986206,0.21695804595947266,0.5749609470367432,2025-11-09 19:21:42
patel,2.0,1.4653818607330322,0.16321706771850586,0.5298588275909424,2025-11-09 19:21:44
muraro,4.0,3.458555221557617,0.9550280570983887,2.345121145248413,2025-11-09 19:21:51
muraro,7.0,3.1235759258270264,1.0178489685058594,2.3442177772521973,2025-11-09 19:21:57
muraro,3.0,2.5530812740325928,0.8862838745117188,2.1008410453796387,2025-11-09 19:22:03
xin,2.0,2.639065742492676,0.7514438629150391,1.6106886863708496,2025-11-09 19:22:08
xin,8.0,2.0916402339935303,0.7809243202209473,1.9468748569488525,2025-11-09 19:22:13
xin,5.0,2.6087701320648193,0.8465580940246582,1.8957099914550781,2025-11-09 19:22:18
xin,2.0,2.5654540061950684,0.7885358333587646,1.6974701881408691,2025-11-09 19:22:23
xin,8.0,2.431511878967285,0.8450601100921631,1.7641489505767822,2025-11-09 19:22:28
zeisel,1.0,3.278442859649658,1.4441001415252686,2.3456530570983887,2025-11-09 19:22:35
zeisel,8.0,2.667142152786255,1.4630000591278076,2.361266851425171,2025-11-09 19:22:42
zeisel,1.0,3.0392448902130127,1.4904420375823975,2.4365367889404297,2025-11-09 19:22:49
zeisel,7.0,2.90718674659729,1.4916977882385254,2.460916042327881,2025-11-09 19:22:56
zeisel,2.0,2.3630809783935547,1.6776559352874756,2.275966167449951,2025-11-09 19:23:02
baron,7.0,3.4419760704040527,1.0204980373382568,2.534809112548828,2025-11-09 19:23:09
baron,4.0,3.674832820892334,0.8858969211578369,2.3420469760894775,2025-11-09 19:23:16
baron,9.0,3.028702974319458,0.9972951412200928,2.4120829105377197,2025-11-09 19:23:23
baron,2.0,2.8240630626678467,1.0100479125976562,2.5408239364624023,2025-11-09 19:23:29
baron,13.0,2.9216179847717285,0.9365887641906738,2.509270191192627,2025-11-09 19:23:35
AVERAGE,,2.561448778424944,1.806361539023263,1.6538300003324236,
