embedding,removed_label,method,adj_rand,accuracy,recall,precision,f1_score
PCA50,1,MARS,0.20175267725478366,0.4583170254403131,0.46163851580518245,0.40284064276757126,0.36054951811305436
PCA50,1,SRNC,0.9675616102071705,0.986692759295499,0.986692759295499,0.986769615049622,0.98645027882747
PCA50,1,Rejection,1.0,1.0,1.0,1.0,1.0
scVI,1,MARS,0.4283032448502668,0.6007827788649707,0.43657958553791887,0.45243793310289315,0.41538749204419084
scVI,1,SRNC,0.995280022113085,0.9956947162426615,0.9956947162426615,0.9968399207423329,0.9962465783353736
scVI,1,Rejection,1.0,1.0,1.0,1.0,1.0
PCA50,2,MARS,0.3320732773589361,0.5478723404255319,0.44250483312983313,0.35960090001496464,0.3778431805644651
PCA50,2,SRNC,0.912592121705501,0.9659574468085106,0.9659574468085106,0.9685126988896368,0.9669509210175347
PCA50,2,Rejection,1.0,1.0,1.0,1.0,1.0
scVI,2,MARS,0.33093477696112106,0.5521276595744681,0.3364456145706146,0.3258025832091679,0.3210777286676294
scVI,2,SRNC,0.966567721465258,0.9861702127659574,0.9861702127659574,0.9887930561290129,0.9874262769363729
scVI,2,Rejection,1.0,1.0,1.0,1.0,1.0
PCA50,3,MARS,0.10011096443766,0.30383211678832117,0.36903206137119643,0.2696272359735575,0.21726994528403568
PCA50,3,SRNC,0.8285088359858418,0.9364355231143552,0.9364355231143552,0.9409449523008877,0.9372150876846691
PCA50,3,Rejection,1.0,1.0,1.0,1.0,1.0
scVI,3,MARS,0.3630826694127989,0.5793795620437956,0.4753785951702618,0.48260283955944927,0.45064475276048355
scVI,3,SRNC,0.8831670251418264,0.9613746958637469,0.9613746958637469,0.9618350039467599,0.9612370093667133
scVI,3,Rejection,1.0,1.0,1.0,1.0,1.0
PCA50,4,MARS,0.13308001390352056,0.446583850931677,0.459234245692579,0.3014589993226856,0.29271142930326804
PCA50,4,SRNC,0.8357441760283638,0.9397515527950311,0.9397515527950311,0.9438172455310998,0.9404473716600434
PCA50,4,Rejection,1.0,1.0,1.0,1.0,1.0
scVI,4,MARS,0.30644244416535343,0.5027950310559006,0.3462975681725682,0.35887847225056524,0.31278617852652435
scVI,4,SRNC,0.8796829257886614,0.9596273291925466,0.9596273291925466,0.9601049601370383,0.9594884374572255
scVI,4,Rejection,1.0,1.0,1.0,1.0,1.0
PCA50,5,MARS,0.14719861795947106,0.39491844416562105,0.3191688712522046,0.33133240088817917,0.29813807195024905
PCA50,5,SRNC,0.8329428510722104,0.9444792973651192,0.9444792973651192,0.9483901486831265,0.9448317751088724
PCA50,5,Rejection,1.0,1.0,1.0,1.0,1.0
scVI,5,MARS,0.3414779198849147,0.5294855708908407,0.36725088183421517,0.424266254168438,0.37372116864431637
scVI,5,SRNC,0.8860921155458521,0.9642409033877039,0.9642409033877039,0.9648878713880268,0.9641439026673347
scVI,5,Rejection,1.0,1.0,1.0,1.0,1.0
PCA50,6,MARS,0.179649441229996,0.4528735632183908,0.5020655270655271,0.38568172836964276,0.3668862166246541
PCA50,6,SRNC,0.8369183001766722,0.9387931034482758,0.9387931034482758,0.9430964907213174,0.9395232859029204
PCA50,6,Rejection,1.0,1.0,1.0,1.0,1.0
scVI,6,MARS,0.4309784823334303,0.5795977011494253,0.4705899810066477,0.5255911139155451,0.4667823144805263
scVI,6,SRNC,0.8897587179587038,0.9623563218390805,0.9623563218390805,0.9627877960804955,0.9622196115267693
scVI,6,Rejection,1.0,1.0,1.0,1.0,1.0
PCA50,7,MARS,0.1404560693012568,0.4384682841274481,0.3704064068647402,0.35498837439911113,0.3435932392914366
PCA50,7,SRNC,0.8338853187126283,0.937445191464484,0.937445191464484,0.9418209696085661,0.9381619210586083
PCA50,7,Rejection,1.0,1.0,1.0,1.0,1.0
scVI,7,MARS,0.3724636390925228,0.572347266881029,0.4783853106769773,0.5133051793337284,0.4666624739369478
scVI,7,SRNC,0.8881188577110013,0.9622917275650394,0.9622917275650394,0.9627224475232233,0.962153662366155
scVI,7,Rejection,1.0,1.0,1.0,1.0,1.0
PCA50,8,MARS,0.16602678983695643,0.43005181347150256,0.3974698141364808,0.38142987066267614,0.35450079437144066
PCA50,8,SRNC,0.8352553962500681,0.9383995394358089,0.9383995394358089,0.9427996652584035,0.9391275078218333
PCA50,8,Rejection,0.8491568290653665,0.904720782959125,0.904720782959125,0.9557225365248755,0.9289980789058797
scVI,8,MARS,0.4379475013378489,0.5857800805987334,0.47186143331976665,0.5341803519812227,0.470030813708572
scVI,8,SRNC,0.8889904200233685,0.9628670120898101,0.9628670120898101,0.9633180982842523,0.9627297319604037
scVI,8,Rejection,1.0,1.0,1.0,1.0,1.0
PCA50,9,MARS,0.17398964424095253,0.4024041213508872,0.3602631935965269,0.3825371409924509,0.33378957734820897
PCA50,9,SRNC,0.8379856206050055,0.9390383514596451,0.9390383514596451,0.9433107038459866,0.9397419212848322
PCA50,9,Rejection,1.0,1.0,1.0,1.0,1.0
scVI,9,MARS,0.3405864062540536,0.5520892959358901,0.47628417107583776,0.4700018097262461,0.4348622034569301
scVI,9,SRNC,0.8892498159369019,0.9622209502003435,0.9622209502003435,0.9626327100887826,0.9620885299610873
scVI,9,Rejection,1.0,1.0,1.0,1.0,1.0
