embedding,removed_label,mars_time_s,srnc_time_s,rejection_time_s,timestamp
PCA50,1,4.227046332999976,3.9902089580000393,2.125356791999991,2025-11-09 20:08:43
scVI,1,3.700498541999991,4.220401500000037,1.919003000000032,2025-11-09 20:08:53
PCA50,2,3.2290108749999717,2.964455958999963,2.3523698330000116,2025-11-09 20:09:01
scVI,2,2.990951916999961,2.95273129200001,2.0430555000000368,2025-11-09 20:09:09
PCA50,3,4.3329912500000205,7.233287999999959,2.6359325420000346,2025-11-09 20:09:24
scVI,3,4.475936000000047,6.32499420900001,2.416573666999966,2025-11-09 20:09:37
PCA50,4,4.061136083000008,7.162380582999958,2.5872496670000373,2025-11-09 20:09:51
scVI,4,4.176151666999999,6.200641582999992,2.402896666999993,2025-11-09 20:10:03
PCA50,5,4.125241708000033,7.028106208999986,2.557617415999971,2025-11-09 20:10:17
scVI,5,3.7977727090000144,5.984263042000009,2.3350314590000494,2025-11-09 20:10:29
PCA50,6,4.337320458000022,8.273368375000018,2.7485714999999686,2025-11-09 20:10:45
scVI,6,4.5331078750000415,6.735201791000009,2.488157583999964,2025-11-09 20:10:58
PCA50,7,4.3452585,8.073523167000019,2.661676,2025-11-09 20:11:14
scVI,7,4.298931000000039,6.610362375000022,2.4215224170000056,2025-11-09 20:11:27
PCA50,8,3.9671692500000404,8.159276708999982,2.8343727079999894,2025-11-09 20:11:42
scVI,8,5.245798708000052,6.688631333999979,2.457597041999975,2025-11-09 20:11:56
PCA50,9,4.404047624999976,8.360220707999986,2.7224911249999764,2025-11-09 20:12:12
scVI,9,4.509843292000028,6.837241082999981,2.522730082999999,2025-11-09 20:12:26
